Species,Family,SVL,TL,Weight,log_adjusted_boxcox_BCI,Zone,Year of sampling,Soil moisture,Soil pH,Temperature,Humidity,Season,Duration_of_sampling,Method
Pulchrana laterimaculata,Ranidae,26,11,2,4.545384687,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,43,25,19,5.35825409,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,41.5,18,5.5,4.070463007,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,42,23,5,3.899381045,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,42,24,6,4.135195024,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,42.2,24,6,4.117231287,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,42.8,24.2,7,4.256286563,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,40,12,5.03,4.097335155,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,42.4,24,10.5,4.763449699,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,41.6,19.7,7.62,4.460708453,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,42,20.5,9.3,4.658324182,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,30.38,15.93,12.23,5.966030785,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Pulchrana laterimaculata,Ranidae,20,11,10,6.934300798,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Pulchrana laterimaculata,Ranidae,43,21,15,5.108300402,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Pulchrana laterimaculata,Ranidae,37.46,19.3,13.65,5.444490191,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Pulchrana laterimaculata,Ranidae,23.3,12.54,10.78,6.597736435,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Pulchrana laterimaculata,Ranidae,37.67,20.5,5.5,4.427231686,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Pulchrana laterimaculata,Ranidae,34,18,1,2.095858258,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Pulchrana laterimaculata,Ranidae,42,27,8,4.484179722,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Leptobrachium ingeri,Megophryidae,27,10,1,3.4986599,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Leptobrachium ingeri,Megophryidae,49,20,9,4.062918378,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Leptobrachium ingeri,Megophryidae,38.92,15.13,5.33,4.271620121,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Leptobrachium ingeri,Megophryidae,36.19,14.44,12.81,5.485688489,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Leptobrachium ingeri,Megophryidae,40.06,16.23,15.37,5.358717014,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Leptobrachium ingeri,Megophryidae,32.32,12.65,10.25,5.604641019,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Leptobrachium ingeri,Megophryidae,30,11,4,4.844663245,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Leptobrachium ingeri,Megophryidae,43,17,16,5.177252441,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
