Species,Family,SVL,TL,Weight,Zone,Year of sampling,Soil moisture,Soil pH,Temperature,Humidity,Season,Duration_of_sampling,Method
Pulchrana laterimaculata,Ranidae,26,11,2,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,43,25,19,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,41.5,18,5.5,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,42,23,5,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,42,24,6,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,42.2,24,6,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,42.8,24.2,7,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,40,12,5.03,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,42.4,24,10.5,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,41.6,19.7,7.62,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,42,20.5,9.3,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana laterimaculata,Ranidae,30.38,15.93,12.23,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Pulchrana laterimaculata,Ranidae,20,11,10,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Pulchrana laterimaculata,Ranidae,43,21,15,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Pulchrana laterimaculata,Ranidae,37.46,19.3,13.65,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
